,GlaThiDa_ID,POLITICAL_UNIT,GLACIER_NAME,GLACIER_DB,GLACIER_ID,LAT,LON,SURVEY_DATE,ELEVATION_DATE,AREA,MEAN_SLOPE,MEAN_THICKNESS,MEAN_THICKNESS_UNCERTAINTY,MAXIMUM_THICKNESS,MAX_THICKNESS_UNCERTAINTY,SURVEY_METHOD,SURVEY_METHOD_DETAILS,NUMBER_OF_SURVEY_POINTS,NUMBER_OF_SURVEY_PROFILES,TOTAL_LENGTH_OF_SURVEY_PROFILES,INTERPOLATION_METHOD,INVESTIGATOR,SPONSORING_AGENCY,REFERENCES,DATA_FLAG,REMARKS,RGIId,RGI Centroid Distance
157,158,SJ,EIDEMBREEN,,,78.4075,13.2004,,,103.0,,94.0,,145.0,,GPRa,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI.",1.0,"DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.00302,2.219019232054673 km
158,159,SJ,ELNABREEN,WGI,NO4W01640010,79.1614,14.1237,,,8.9,,69.0,,180.0,,GPRa,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI.",1.0,"DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.00814,2.4472822136747827 km
159,160,SJ,AASGARDFONNA,,,79.5851,16.6261,,,1740.0,,110.0,,350.0,,GPRa,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI.",1.0,"MEAN_THICKNESS value differs from Bahr et al., (1997). DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.00859,6.481991269034371 km
160,161,SJ,BALDERFONNA,FOG,3473,79.3079,18.1286,,,418.0,,64.0,,330.0,,GPRa,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI.",1.0,"MEAN_THICKNESS value differs from Bahr et al., (1997). DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.00879,5.040551673317771 km
161,162,SJ,VALHALLFONNA,,,79.6696,17.259,,,410.0,,105.0,,350.0,,GPRa,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI.",1.0,"Mean Thicknss value differs from Bahr et al., (1997). DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.00856,4.769016196312339 km
162,163,SJ,ODINJOEKULEN,,,79.5741,18.2908,,,58.0,,39.0,,120.0,,GPRa,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI.",1.0,"MEAN_THICKNESS value differs from Bahr et al., (1997). DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.00876,1.6214151876198952 km
163,164,SJ,TORSFONNA,,,79.5041,18.2782,,,83.0,,52.0,,215.0,,GPRa,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI.",1.0,"MEAN_THICKNESS value differs from Bahr et al., (1997). DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.00877,1.5699344033854357 km
164,165,SJ,FOXFONNA,,,78.1287,16.1716,,,14.8,,34.0,,120.0,,GPRt,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI.",1.0,"MEAN_THICKNESS value differs from Bahr et al., (1997). DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.01023,1.2689101707065462 km
165,166,SJ,AUSTFONNA,,,79.7931,24.6645,19589999.0,19589999.0,8020.0,,140.0,,576.0,,SEI,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI. and Ekman, S.R., (1971). Geogr. Ann.",1.0,"MEAN_THICKNESS value differs from Bahr et al., (1997). DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.00029,19.44250423165663 km
166,167,SJ,VESTFONNA,,,79.9409,20.8027,19589999.0,19589999.0,2670.0,,134.0,,375.0,,SEI,,,,,,,,"Zhuravlev, A.B., (1981). MGI. and Macheret, Y.Y. and Zhuravlev, A.B, (1982). Jour. Glac. and Zhuravlev, A.B., (1988). MGI. and Ekman, S.R., (1971). Geogr. Ann.",1.0,"MEAN_THICKNESS value differs from Bahr et al., (1997). DATA_FLAG: According to Dowdeswell et al. 1984 (https://doi.org/10.3189/S0022143000008431), Macheret and Zhuravlev 1982 (https://doi.org/10.3189/S0022143000011643) wrongly interpreted the interface between cold and temperate ice as the bed on many glaciers.",RGI60-07.01499,5.432496482150515 km
167,168,RU,GRAHAM BELL,,,80.8664,64.2892,19939999.0,19939999.0,1196.3,,209.0,,450.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00807,6.699062227536757 km
168,169,RU,LA RONCIERE,,,80.9822,60.9942,19939999.0,19939999.0,397.3,,174.0,,310.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00990,3.954092556484319 km
169,170,RU,EVA-LIV,,,81.6333,63.1,19939999.0,19939999.0,264.0,,156.0,,310.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00856,2.6001256595661104 km
170,171,RU,FREEDEN,,,62.0394,81.5559,19939999.0,19939999.0,37.1,,94.0,,185.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-10.00397,864.0555973274045 km
171,172,RU,WILCZEK LAND,,,80.5833,60.5,19939999.0,19939999.0,1855.3,,187.0,,383.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00744,9.992055652307235 km
172,173,RU,HALL,,,80.35,57.85,19939999.0,19939999.0,907.0,,149.0,,290.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00610,7.526898218671976 km
173,174,RU,RAINER,,,81.3586,58.9914,19939999.0,19939999.0,131.2,,144.0,,281.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.01061,1.9880131955270988 km
174,175,RU,RUDOLPH,,,81.7672,58.56,19939999.0,19939999.0,284.7,,137.0,,310.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00859,5.524460032690238 km
175,176,RU,HOHENLOHE,,,81.6046,58.5169,19939999.0,19939999.0,25.8,,50.0,,102.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00851,0.0 km
176,177,RU,MOON ICE CAP,,,80.6339,46.5839,19939999.0,19939999.0,647.7,,144.0,,312.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00702,7.390001046988348 km
177,178,RU,KROPOTKIN ICE CAP,,,78.47194,101.66469,19939999.0,19939999.0,119.3,,121.0,,240.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00580,4.10824295526025 km
178,179,RU,BRUSILOV ICE CAP,,,80.6188,50.19004,19939999.0,19939999.0,889.3,,176.0,,298.0,,GPRa,,,,,,,,"Macheret et al., (1999). ZGG.",,,RGI60-09.00697,6.160259827935472 km
179,194,SJ,OSBORNEBREEN,WGI,NO4W01530000,78.6544,13.1263,,,118.0,,156.0,,280.0,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-07.00482,1.1441273920225985 km
180,195,SJ,COMFORTLESSBREEN,WGI,NO4W01540011,78.7649,12.1302,,,56.4,,175.0,,300.0,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-07.00511,1.3808659283292515 km
181,197,RU,OBRUCHEV,WGI,SU5A03003026,67.63654,65.78011,,,0.32,,63.0,,,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-10.05085,0.000520570835475598 km
182,198,RU,IGAN,WGI,SU5A03003027,67.57893,66.00031,,,1.25,,38.0,,,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-10.05087,0.0004625550012758856 km
183,199,US,MCCALL,WGI,US2A00205046,69.28,-143.83,,,7.4,,83.0,,250.0,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-01.02236,0.6228460712120357 km
184,200,US,UPPER FREMONT,,,43.1311,-109.6161,,,1.52,,77.0,,172.0,,GPRt,,,,,OTH,,,"Bahr et al., (1997). JGR. based on Naftz and Smith (1993).",,INTERPOLATION_METHOD: MEAN_THICKNESS estimated from centerline profile in Naftz and Smith (1993),RGI60-02.18799,0.2750781970269604 km
185,201,US,COLUMBIA,WGI,US2N00500627,61.06472,-147.06135,,,1050.0,,277.0,,1050.0,,SEI,,,,,,,,"Bahr et al., (1997). JGR. based on Sikonia (1982).",,,RGI60-01.10679,5.549549830678783 km
186,202,US,BLACK RAPIDS,FOG,80,63.48,-146.5,,,246.0,,235.0,,603.0,,GPRt,,,,,OTH,,,"Bahr et al., (1997). JGR. based on Heinrichs et al., (1995). USGS.",,INTERPOLATION_METHOD: MEAN_THICKNESS estimated from profiles in Heinrichs et al. (1995),RGI60-01.00037,1.851480652780007 km
187,203,CA,RUSTY,WGI,CA2O014AS091,61.2,-140.302,,,4.3,,66.0,,,,GPRt,,,,,,,,"Bahr et al., (1997). JGR. and Clarke, G.K. and Goodman, R.H., (1975). Jour. Glac.",,,RGI60-01.16374,0.0 km
188,204,CA,HAZARD,WGI,CA2O014AS100,61.259,-140.366,,,12.2,,72.0,,200.0,,GPRa,,,,,,,,"Bahr et al., (1997). JGR. and Narod, B.B and Clarke, G.K.C. (1980). Jour. Glac.",,,RGI60-01.16314,2.1199522965392186 km
189,206,IS,VATNAJOEKULL,,,64.4,-16.8,,,8400.0,,420.0,,,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-06.00475,20.06701666944997 km
190,207,CA,MEIGHEN ICE CAP,FOG,16,79.95,-99.13,,,76.0,,29.0,,,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-03.00691,3.7614445206099116 km
191,208,CA,BARNES ICE CAP,FOG,3371,70.0,-73.5,,,5936.0,,267.0,,,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-04.06187,17.05675219855 km
192,209,CA,PENNY ICE CAP,WGI,CA2T50000322,67.3,-66.1,,,5960.0,,270.0,,,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-04.05765,9.407430298676132 km
193,210,CA,DEVON ICE CAP,FOG,3586,75.2,-81.9,,,12790.0,,526.0,,,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-03.02467,19.38571035094383 km
194,211,CA,AGASSIZ ICE CAP,FOG,3370,80.4,-75.0,,,20400.0,,541.0,,,,,,,,,,,,"Bahr et al., (1997). JGR.",,,RGI60-03.00113,16.70557652476753 km
195,212,AT,GOLDBERGKEES,FOG,1305,47.0421,12.9702,20049999.0,20049999.0,1.04,,48.0,11.0,162.0,36.0,GPRt,,,,,KRG,,,"Binder et al., (2009). Ann. Glac.",,,RGI60-11.00289,0.0 km
196,213,AT,KLEINFLEISSKEES,FOG,547,47.05,12.95,20049999.0,20049999.0,1.26,,42.0,9.0,153.0,34.0,GPRt,,,,,KRG,,,"Binder et al., (2009). Ann. Glac.",,,RGI60-11.00251,0.3955958324626948 km
197,214,IS,HOFSJOEKULL ICE CAP,,,64.8167,-18.8167,19839999.0,19839999.0,923.0,,215.0,15.0,750.0,15.0,GPRt,,,,,,,,"Björnsson, H., (1986). Ann. Glac.",,,RGI60-06.00234,8.525419952467631 km
198,215,AT,OBERES WURTENKEES,,,47.0344,13.0148,20039999.0,20039999.0,0.46,,13.0,5.0,40.0,15.0,GPRt,,,5.0,3.0,,,,"Binder, D., (2009). Diploma Thesis.",,,RGI60-11.00306,0.13664963129755503 km
199,216,AT,UNTERES WURTENKEES,,,47.0385,13.0061,20039999.0,20039999.0,0.38,,40.0,8.0,79.0,15.0,GPRt,,,,,,,,"Binder, D., (2009). Diploma Thesis.",,,RGI60-11.00300,0.09120161739123687 km
200,217,AQ,BOWLES PLATEAU,,,-62.62645,-60.24166,20069999.0,20069999.0,21.8,,265.0,,500.0,,GPRt,,,,101.5,,,,"Macheret et al., (2009). Ann. Glac.",,,RGI60-19.02062,2.575103743098173 km
201,218,NO,JOSTEDALSBREEN,,,61.70192,7.04885,19859999.0,19859999.0,60.0,,225.0,,600.0,,GPRt,,,,600.0,,,,"Saetrang, A.C. and Wold, B., (1986). Ann. Glac.",,,RGI60-08.01127,1.617345074396218 km
202,220,CH,CLARIDENFIRN,WGI,CH4R0140I019,46.8464,8.9006,19930399.0,19939999.0,5.64,,39.0,,300.0,,GPRt,,,5.0,,,,,"Funk et al., (1997). BHS.",,,RGI60-11.00843,0.7597179913950759 km
203,221,CN,GURENHEKOU,WGI,CN5O270B0355,30.193,90.447,20079999.0,20079999.0,1.4,,36.0,,121.0,,GPRt,,,,,KRG,,,"Ma et al., (2008). Jour. Glac. Geocr.",,,RGI60-13.28839,0.0 km
204,222,CN,KANGWURE,WGI,CN5O192CE001,28.472,85.818,20089999.0,20089999.0,1.96,,47.0,,66.0,,GPRt,,,,,KRG,,,"Ma et al., (2010). CSB.",,,RGI60-15.10263,0.29579113028620674 km
205,236,PE,NEVADO COROPUNA,,,-15.55021,-72.63794,20049999.0,20049999.0,57.3,,81.0,16.0,,,GPRt,,,,10.6,,,,"Peduzzi et al., (2010). TC.",,,RGI60-16.01487,1.5292490596545225 km
206,237,US,MCCALL,WGI,US2A00205046,69.28,-143.83,20069999.0,20069999.0,6.02,,82.0,,,,GPRt,,,19.0,,OTH,,,"Pattyn et al., (2009). Ann. Glac.",,INTERPOLATION_METHOD: Delaunay Triangulation,RGI60-01.02236,0.6228460712120357 km
207,304,AT,GOLDBERGKEES,FOG,1305,47.0421,12.9702,19729999.0,19729999.0,1.6,,14.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Brückl, E. and Bittmann, O., (1977). ZAMG.",,SURVEY_DATE: additional measurements were taken in 1971,RGI60-11.00289,0.0 km
208,305,AT,OBERES WURTENKEES,WGI,AT4J131MO038,47.0344,13.0148,19729999.0,19729999.0,0.8,,8.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Brückl, E. and Bittmann, O., (1977). ZAMG.",,SURVEY_DATE: additional measurements were taken in 1971,RGI60-11.00306,0.13664963129755503 km
209,306,AT,UNTERES WURTENKEES,WGI,AT4J131MO038,47.0385,13.0061,19729999.0,19729999.0,1.3,,21.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Brückl, E. and Bittmann, O., (1977). ZAMG.",,SURVEY_DATE: additional measurements were taken in 1971,RGI60-11.00300,0.09120161739123687 km
210,307,AT,KLEINFLEISSKEES,FOG,547,47.05,12.95,19729999.0,19729999.0,1.2,,23.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Brückl, E. and Bittmann, O., (1977). ZAMG.",,SURVEY_DATE: additional measurements were taken in 1971,RGI60-11.00251,0.3955958324626948 km
211,308,AT,DAUNKOGELFERNER,WGI,AT4J143SI036,46.9877,11.1052,,,1.5,,34.0,,80.0,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Aric, K. and Brückl, E., (1987). ZAMG. and Steinhauser, F. (1987). ALGB.",,MAXIMUM_THICKNESS: maximum measured ice thickness,RGI60-11.00518,0.0 km
212,309,AT,GUSLAR GR.,WGI,AT4J143OE132,46.85,10.8,19679999.0,19679999.0,1.7,,28.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Miller, H., (1972). ZGG.",,SURVEY_DATE: additional measurements were taken in 1966,RGI60-11.00814,0.38938649009083154 km
213,310,AT,VERMUNTGLETSCHER,FOG,482,46.85,10.13,,,2.4,,10.0,,17.0,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Aric, K. and Brückl, E., (1987). ZAMG. and Steinhauser, F. (1987). ALGB.",,MAXIMUM_THICKNESS: maximum measured ice thickness,RGI60-11.00807,0.329613159370618 km
214,311,AT,HORNKEES,FOG,589,46.9968,11.818074,19689999.0,19689999.0,3.0,,47.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Brückl et al., (1971). ZAMG.",,,RGI60-11.00459,0.14895093918177002 km
215,312,AT,UNTERSULZBACHKEES,FOG,582,47.13,12.35,19749999.0,19749999.0,4.1,,74.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Brückl et al., (1980). ZAMG.",,SURVEY_DATE: additional measurements were taken in 1973,RGI60-11.00068,0.43240607431138073 km
216,313,AT,GEFRORENE WAND,WGI,AT4J143ZI110,47.0654,11.6636,19699999.0,19699999.0,4.2,,20.0,,60.0,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Brückl, E. and Gangl, G., (1972). ZAMG. and Steinhauser, F. (1987). ALGB.",,LAT/LON: from WGI; MAXIMUM_THICKNESS: maximum measured ice thickness,RGI60-11.00311,0.0 km
217,314,AT,SULZTALFERNER,WGI,AT4J143OE022,47.000215,11.076637,,,4.6,,48.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Förtsch, O., (1958). ZfG.",,,RGI60-11.00487,0.31240336513064476 km
218,315,AT,SCHLATENKEES,FOG,580,47.1122,12.3839,,,9.3,,41.0,,105.0,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Aric, K. and Brückl, E., (1987). ZAMG. and Steinhauser, F. (1987). ALGB.",,MAXIMUM_THICKNESS: maximum measured ice thickness,RGI60-11.00135,0.6271783169339978 km
219,316,AT,VERNAGTFERNER,WGI,AT4J143OE133,46.88,10.82,,,9.3,,61.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Miller, H., (1972). ZGG.",,,RGI60-11.00719,0.449109132741196 km
220,317,AT,OBERSULZBACHKEES,FOG,583,47.1082,12.2919,19749999.0,19749999.0,11.2,,47.0,,,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Brückl et al., (1980). ZAMG.",,SURVEY_DATE: additional measurements were taken in 1973,RGI60-11.00141,1.2372815714673575 km
221,318,AT,PASTERZE,WGI,AT4J131MO027,47.1,12.7,19709999.0,19709999.0,19.8,,67.0,,180.0,,SEI,,,,,,,,"Aric, K. and Brückl, E., (2001). ZAMG. based on Bittmann et al., (1973). ZAMG. and Brockamp, B., (1958). IASH Publ. and Steinhauser, F. (1987). ALGB.",,MAXIMUM_THICKNESS: maximum measured ice thickness in the area 'Oberster Pasterzenboden',RGI60-11.00106,0.26976006097366245 km
222,319,US,GULKANA,WGI,US2O01200001,63.28372,-145.41426,19760328.0,19769999.0,19.32,,147.0,,270.0,,GPRt,,19.0,,2.0,,,,"March, R.S., (2000). USGS.",,MEAN_THICKNESS and MAXIMUM_THICKNESS: calculated only from measurements points see table TTT,RGI60-01.00570,0.7075760699570439 km
223,321,US,VARIEGATED,,,59.9983,-139.3317,19730699.0,19739999.0,,5.0,270.0,,384.0,,SEI,,,,,,,,"Bindschadler et al., (1977). Jour. Glac.",,,RGI60-01.14445,3.991036373130823 km
224,322,AQ,JOHNSONS,FOG,3366,-62.669,-60.3539,20039999.0,20039999.0,5.61,,97.0,2.0,160.0,,GPRt,,,,,,,,"Navarro et al., (2009). Ann. Glac.",,SURVEY_DATE: additional measurements were taken in 1999,RGI60-19.02059,0.1938600655854649 km
225,323,AQ,HURD,FOG,3367,-62.68017,-60.37403,20049999.0,20049999.0,4.73,,89.0,2.0,200.0,,GPRt,,,,,,,,"Navarro et al., (2009). Ann. Glac.",,"SURVEY_DATE: additional measurements were taken in 2003, 2001 and 2000",RGI60-19.02058,1.0136403645983418 km
226,324,AQ,KING GEORGE ISLAND,,,-62.0333,-58.35,20099999.0,20099999.0,465.0,,238.0,,422.0,,GPR,GPRt and GPRa,,,,KRG,,,"Rückamp, M. and Blindow, N., (2011). EAASS. and Blindow et al., (2010). Ann. Glac.",,"SURVEY_DATE: additional measurements were taken in 2008, 2007, 2006, 1998 and 1997",RGI60-19.01950,2.0791139140395782 km
227,333,IN,DOKRIANI GLACIER,WGI,IN5O152D0019,30.855,78.818,19951199.0,19959999.0,9.7,12.0,30.0,,120.0,,GPRt,,,8.0,,,,,"Gergan et al., (1999). Curr. Scie.",,,RGI60-15.07570,1.2810711114010855 km
228,337,GL,MITTIVAKKAT,FOG,1629,65.6957,-37.8032,19940899.0,19949999.0,17.6,,115.0,5.0,245.0,5.0,GPRt,,450.0,,,,,,"Knudsen, N.T. and Hasholt, B., (1999). AAAR.",,,RGI60-05.11186,0.0 km
229,339,RU,ACADEMY OF SCIENCE ICE CAP,,,80.475,94.8967,19979999.0,19979999.0,5575.0,,391.0,,819.0,,GPRa,,,,1657.0,KRG,,,"Dowdeswell et al., (2002). JGR.",,,RGI60-09.00920,20.607524530105557 km
230,344,NO,STORBREEN,WGI,NO4A000AD041,61.573395,8.131989,20059999.0,20059999.0,5.4,,115.0,,,,GPRt,,,,,,,,"Andreassen et al., (2006). NVE Rapp.",,,RGI60-08.00312,0.04402212353174984 km
231,345,NO,ENGABREEN,WGI,NO4A000C4011,66.657,13.853,20059999.0,20059999.0,39.6,,205.0,,,,GPRt,,,,,,,,"Andreassen et al., (2006). NVE Rapp.",,,RGI60-08.01657,0.0 km
232,347,IS,HOFFELLSJOEKULL,FOG,3086,64.48,-15.57,20019999.0,20019999.0,212.0,,300.0,,560.0,,GPRt,,,,,,,,"Aðalgeirsdóttir et al., (2011). TC.",,,RGI60-06.00438,2.971305166842879 km
233,351,KE,LEWIS,FOG,695,-0.15681,37.314,19809999.0,19809999.0,0.39,,20.0,5.0,50.0,5.0,SEI,,,,,,,,"Bhatt et al., (1980). ZGG.",,"SURVEY_DATE: additional measurements were taken in 1974, 1978 and 1979; AREA: from WGI (based on year 1963)",RGI60-16.01638,0.0004422971365519735 km
234,358,US,SPERRY,FOG,218,48.62495,-113.75707,20089999.0,20089999.0,1.0,10.0,26.0,,80.0,,GPRt,,,9.0,,KRG,,,"Brown et al., (2010). Glob. Plan. Chn.",,SURVEY_DATE: additional measurements were taken in 2005,RGI60-02.17023,0.0 km
235,360,AQ,DAVIES DOME,,,-63.8833,-58.05,20109999.0,20109999.0,4.94,,32.0,1.0,83.0,2.0,GPRt,,,6.0,,OTH,,,"Engel et al., (2012). Jour. Glac.",,"INTERPOLATION_METHOD: various methods (Kriging, IDW, Minimum Curvature, Spatial Neighbour, Triangulation)",RGI60-19.00642,0.8635289631143546 km
236,361,AQ,WHISKY,,,-63.9333,-57.95,20109999.0,20109999.0,2.4,,100.0,2.0,158.0,2.0,GPRt,,,6.0,,OTH,,,"Engel et al., (2012). Jour. Glac.",,"INTERPOLATION_METHOD: various methods (Kriging, IDW, Minimum Curvature, Spatial Neighbour, Triangulation)",RGI60-19.00645,1.724473447687806 km
237,362,CH,PIZOLGLETSCHER,WGI,CH4R0140D001,46.9595,9.3891,20100216.0,20069999.0,0.08068,22.0,15.0,5.0,36.0,5.0,GPRt,,5936.0,34.0,4.83,OTH,M. Huss,University of Fribourg,"Huss, M., (2010). Geo. Hel.",,INTERPOLATION_METHOD: Minimum Curvature,RGI60-11.00638,0.08957213116997907 km
238,366,RU,STASHER,,,50.08979,87.71608,19979999.0,19979999.0,0.24,,54.0,,91.0,,GPRt,,,,,,,,"Nikitin et al., (2000). MGI.",,LAT/LON: based on GoogleEarth; SURVEY_DATE: additional measurements ware taken in 1978 and 1996 POLITICAL_UNIT updated by spatial query with data from gadm.org.,RGI60-10.01730,0.7407727019422318 km
239,367,RU,54,WGI,SU5A15106054,49.74121,87.88602,19979999.0,19979999.0,0.609,,43.0,,113.0,,GPRt,,,,,,,,"Nikitin et al., (2000). MGI.",,LAT/LON: based on Katalog Lednikow USSR; SURVEY_DATE: additional measurements ware taken in 1978 and 1996 POLITICAL_UNIT updated by spatial query with data from gadm.org.,RGI60-10.02460,0.00025013556662993423 km
240,368,RU,VODOPADNIY,WGI,SU5A15106125,50.0503,87.7886,19979999.0,19979999.0,0.75,,55.0,,113.0,,GPRt,,,,,,,,"Nikitin et al., (2000). MGI.",,LAT/LON: based on Katalog Lednikow USSR; SURVEY_DATE: additional measurements ware taken in 1978 and 1996 POLITICAL_UNIT updated by spatial query with data from gadm.org.,RGI60-10.01706,0.00021761406574806 km
241,369,RU,134,WGI,SU5A15106134,50.13128,87.66963,19979999.0,19979999.0,0.772,,40.0,,99.0,,GPRt,,,,,,,,"Nikitin et al., (2000). MGI.",,LAT/LON: based on Katalog Lednikow USSR; SURVEY_DATE: additional measurements ware taken in 1978 and 1996 POLITICAL_UNIT updated by spatial query with data from gadm.org.,RGI60-10.01717,0.00017936153804111652 km
242,370,RU,MALYI KORUMDU,WGI,SU5A15106132,50.11442,87.70842,19979999.0,19979999.0,0.814,,39.0,,148.0,,GPRt,,,,,,,,"Nikitin et al., (2000). MGI.",,LAT/LON: based on Katalog Lednikow USSR; SURVEY_DATE: additional measurements ware taken in 1978 and 1996 POLITICAL_UNIT updated by spatial query with data from gadm.org.,RGI60-10.01736,0.0002056086967745489 km
243,371,RU,KAR MALOGO AKTR,WGI,SU5A15106126,50.0477,87.7803,19979999.0,19979999.0,0.91,,69.0,,109.0,,GPRt,,,,,,,,"Nikitin et al., (2000). MGI.",,LAT/LON: based on Katalog Lednikow USSR; SURVEY_DATE: additional measurements ware taken in 1978 and 1996 POLITICAL_UNIT updated by spatial query with data from gadm.org.,RGI60-10.01708,0.00030535843059602985 km
